פירושונים
[[:צ'יאנג]]	צ'יאנג
[[:הוגו]]	הוגו
[[:מודול]]	מודול
[[:בארי]]	בארי
[[:יותם]]	יותם
[[:סאלם]]	סאלם
[[:מס"ב]]	מס"ב
[[:קולומבוס (פירושונים)]]	קולומבוס (פירושונים)
[[:קולומבו (פירושונים)]]	קולומבו (פירושונים)
[[:גארפילד]]	גארפילד
[[:טרפז (פירושונים)]]	טרפז (פירושונים)
[[:שור]]	שור
[[:פשפש]]	פשפש
[[:תולע]]	תולע
[[:אופליה (פירושונים)]]	אופליה (פירושונים)
[[:סמיכה]]	סמיכה
[[:בני יהודה]]	בני יהודה
[[:ולנסיה (פירושונים)]]	ולנסיה (פירושונים)
[[:מרחב]]	מרחב
[[:חשבון]]	חשבון
[[:ההשכלה]]	ההשכלה
[[:תבור]]	תבור
[[:מקור חיים]]	מקור חיים
[[:אוקלנד]]	אוקלנד
[[:בורסה]]	בורסה
[[:פלאפון]]	פלאפון
[[:ג'יימס השני]]	ג'יימס השני
[[:אן]]	אן
[[:סג'רה]]	סג'רה
[[:דגניה]]	דגניה
[[:שרמן (פירושונים)]]	שרמן (פירושונים)
[[:עבדאללה, מלך ירדן]]	עבדאללה, מלך ירדן
[[:אבטליון]]	אבטליון
[[:קיימברידג' (פירושונים)]]	קיימברידג' (פירושונים)
[[:דרך האמצע]]	דרך האמצע
[[:סלולרי]]	סלולרי
[[:ניופאונדלנד (פירושונים)]]	ניופאונדלנד (פירושונים)
[[:מט"ח]]	מט"ח
[[:בן-גוריון (פירושונים)]]	בן-גוריון (פירושונים)
[[:לה ג'וקונדה]]	לה ג'וקונדה
&rlm;[[:FAI]]&rlm;	FAI
[[:דרבן]]	דרבן
[[:הבניה]]	הבניה
[[:סאטמר]]	סאטמר
[[:ראיה]]	ראיה
[[:איזומורפיזם (פירושונים)]]	איזומורפיזם (פירושונים)
&rlm;[[:MS]]&rlm;	MS
[[:אח]]	אח
[[:מיון]]	מיון
[[:עקב]]	עקב
[[:אורנג']]	אורנג'
[[:אקסצנטריות]]	אקסצנטריות
&rlm;[[:Circus]]&rlm;	Circus
[[:בריאה]]	בריאה
[[:בולגקוב]]	בולגקוב
[[:סינתזה]]	סינתזה
[[:אדמונד]]	אדמונד
[[:דחף]]	דחף
[[:רוק]]	רוק
[[:מחבט]]	מחבט
[[:אלברטה (פירושונים)]]	אלברטה (פירושונים)
[[:יוקון (פירושונים)]]	יוקון (פירושונים)
[[:סכין (פירושונים)]]	סכין (פירושונים)
[[:קורדובה]]	קורדובה
[[:מסחה]]	מסחה
[[:פאראדיי]]	פאראדיי
[[:חזרת]]	חזרת
[[:דגה]]	דגה
[[:טיכו]]	טיכו
[[:טעמים]]	טעמים
[[:ברקלי]]	ברקלי
[[:גלקסי]]	גלקסי
[[:דנציגר]]	דנציגר
[[:קבק]]	קבק
[[:אונטריו (פירושונים)]]	אונטריו (פירושונים)
[[:ז'בוטינסקי]]	ז'בוטינסקי
[[:טרובדור (פירושונים)]]	טרובדור (פירושונים)
[[:ידין]]	ידין
[[:קריש]]	קריש
[[:יואש]]	יואש
[[:יוחנן]]	יוחנן
[[:ינון]]	ינון
[[:יונתן]]	יונתן
[[:ים המוות]]	ים המוות
[[:יפתח]]	יפתח
[[:לונה]]	לונה
[[:יוסטון (פירושונים)]]	יוסטון (פירושונים)
[[:מיתרידטס]]	מיתרידטס
[[:ערבה]]	ערבה
[[:פילון]]	פילון
[[:ג'י]]	ג'י
[[:מטילדה]]	מטילדה
[[:ויסקונטי]]	ויסקונטי
[[:ריצ'רד]]	ריצ'רד
[[:אליזבת]]	אליזבת
[[:באיזיד]]	באיזיד
[[:חוג]]	חוג
[[:אולסטאר]]	אולסטאר
[[:ג'יימס]]	ג'יימס
[[:אורות]]	אורות
[[:האדמו"ר מסאטמר]]	האדמו"ר מסאטמר
[[:מאפיה]]	מאפיה
[[:בורמזי]]	בורמזי
[[:דיסק]]	דיסק
[[:זרזיר]]	זרזיר
[[:אופק (פירושונים)]]	אופק (פירושונים)
[[:ש"ך]]	ש"ך
[[:שרשרת (פירושונים)]]	שרשרת (פירושונים)
[[:מיל]]	מיל
[[:שבי (פירושונים)]]	שבי (פירושונים)
[[:כרמל (פירושונים)]]	כרמל (פירושונים)
[[:רבנו בחיי]]	רבנו בחיי
[[:בן איש חי]]	בן איש חי
[[:מילה]]	מילה
[[:כוכב השחר]]	כוכב השחר
[[:בית גוברין]]	בית גוברין
[[:לאומי]]	לאומי
[[:אנדרטת מלחמת העולם השנייה]]	אנדרטת מלחמת העולם השנייה
[[:מרחביה]]	מרחביה
[[:נמרוד (פירושונים)]]	נמרוד (פירושונים)
[[:סולידריות]]	סולידריות
&rlm;[[:IDE]]&rlm;	IDE
[[:היחידה ללוחמה בטרור]]	היחידה ללוחמה בטרור
[[:ליאון]]	ליאון
[[:רוטשילד]]	רוטשילד
[[:טיפוס]]	טיפוס
[[:ניתוח (פירושונים)]]	ניתוח (פירושונים)
&rlm;[[:PRL]]&rlm;	PRL
[[:שד]]	שד
[[:בוראן]]	בוראן
[[:מעשר]]	מעשר
[[:טמפל בר]]	טמפל בר
[[:פרדס (פירושונים)]]	פרדס (פירושונים)
[[:גיתה]]	גיתה
[[:קישון]]	קישון
[[:פאגוט]]	פאגוט
[[:בוסתנאי]]	בוסתנאי
[[:דו-מיני]]	דו-מיני
[[:עונה]]	עונה
[[:עירוב (פירושונים)]]	עירוב (פירושונים)
[[:אסטור]]	אסטור
[[:ביבי]]	ביבי
[[:מוזיאון השואה]]	מוזיאון השואה
[[:סריג]]	סריג
[[:קרלו]]	קרלו
[[:גיבוש]]	גיבוש
[[:בלבואה]]	בלבואה
[[:קוואצ'ה]]	קוואצ'ה
[[:אבימלך]]	אבימלך
[[:פלפל]]	פלפל
[[:סימון וייל]]	סימון וייל
[[:הפטן]]	הפטן
[[:ירושלים (פירושונים)]]	ירושלים (פירושונים)
[[:ועדת חקירה (פירושונים)]]	ועדת חקירה (פירושונים)
[[:חומסקי]]	חומסקי
[[:סוהו]]	סוהו
[[:סימון]]	סימון
[[:קצב]]	קצב
[[:ציר]]	ציר
[[:הוקי]]	הוקי
[[:מימון (פירושונים)]]	מימון (פירושונים)
[[:שלינג]]	שלינג
[[:עדה]]	עדה
[[:סטורן]]	סטורן
[[:קאטו]]	קאטו
[[:קלטת]]	קלטת
&rlm;[[:DC]]&rlm;	DC
[[:בתולת ים (פירושונים)]]	בתולת ים (פירושונים)
[[:כנסיית יעקב הקדוש]]	כנסיית יעקב הקדוש
[[:טימור]]	טימור
[[:ישיבת פתח תקווה]]	ישיבת פתח תקווה
[[:נשא]]	נשא
[[:פיליפ השני]]	פיליפ השני
[[:פאונד]]	פאונד
&rlm;[[:ZIP]]&rlm;	ZIP
[[:לכיש]]	לכיש
[[:עיקור]]	עיקור
[[:סטריליזציה]]	סטריליזציה
[[:ריטואל]]	ריטואל
[[:אדומים]]	אדומים
[[:חשיארש]]	חשיארש
[[:המהפכה הרוסית]]	המהפכה הרוסית
&rlm;[[:LA]]&rlm;	LA
[[:סופית]]	סופית
[[:אמה]]	אמה
[[:כתב (פירושונים)]]	כתב (פירושונים)
[[:ספורה]]	ספורה
[[:גזירה]]	גזירה
[[:כנף (פירושונים)]]	כנף (פירושונים)
[[:ליברפול (פירושונים)]]	ליברפול (פירושונים)
[[:מפיק]]	מפיק
[[:עיבוד]]	עיבוד
[[:מעבד (פירושונים)]]	מעבד (פירושונים)
[[:אי חג המולד]]	אי חג המולד
[[:סולם (פירושונים)]]	סולם (פירושונים)
[[:טרבל]]	טרבל
&rlm;[[:GC]]&rlm;	GC
[[:ספר (פירושונים)]]	ספר (פירושונים)
[[:פנטום]]	פנטום
[[:שמואל כץ]]	שמואל כץ
[[:חוזה פריז]]	חוזה פריז
[[:סקיפיו]]	סקיפיו
[[:ג'ון אנדרסון]]	ג'ון אנדרסון
[[:קדוש]]	קדוש
[[:הונוריוס]]	הונוריוס
[[:אשכנזי]]	אשכנזי
[[:אגרה]]	אגרה
[[:מחול ויטוס הקדוש]]	מחול ויטוס הקדוש
[[:הקדשה]]	הקדשה
[[:מלוח]]	מלוח
[[:מסאי]]	מסאי
[[:המושבה האמריקאית]]	המושבה האמריקאית
[[:יוסטיניאנוס]]	יוסטיניאנוס
[[:כור]]	כור
[[:מאירי]]	מאירי
[[:כליזמר (פירושונים)]]	כליזמר (פירושונים)
[[:שיווי משקל]]	שיווי משקל
[[:אברבנאל]]	אברבנאל
[[:בריסק]]	בריסק
[[:שלמה הלברשטאם]]	שלמה הלברשטאם
[[:צייטלין]]	צייטלין
[[:קרח (פירושונים)]]	קרח (פירושונים)
[[:ליסט (פירושונים)]]	ליסט (פירושונים)
[[:שגב]]	שגב
[[:המדיניות הכלכלית החדשה]]	המדיניות הכלכלית החדשה
[[:ברנדוט]]	ברנדוט
[[:צ'אי]]	צ'אי
[[:כלנית (פירושונים)]]	כלנית (פירושונים)
[[:פרוקונסול]]	פרוקונסול
[[:האוניברסיטה הפתוחה (פירושונים)]]	האוניברסיטה הפתוחה (פירושונים)
[[:טורפים]]	טורפים
[[:פוסטר]]	פוסטר
[[:משקל סגולי (פירושונים)]]	משקל סגולי (פירושונים)
[[:שרון]]	שרון
[[:תיבה]]	תיבה
[[:מקצוע (פירושונים)]]	מקצוע (פירושונים)
[[:מידות]]	מידות
[[:בריטון]]	בריטון
[[:עמעם]]	עמעם
[[:פיה]]	פיה
[[:ליקוי]]	ליקוי
[[:אינפורמנט]]	אינפורמנט
&rlm;[[:Yes]]&rlm;	Yes
[[:אסד]]	אסד
[[:מאהלר]]	מאהלר
[[:מהר"ם]]	מהר"ם
[[:מודיליאני]]	מודיליאני
[[:מוהילבר]]	מוהילבר
[[:מוליכות]]	מוליכות
[[:משה שפירא]]	משה שפירא
[[:הרצון לעוצמה]]	הרצון לעוצמה
[[:מיתר]]	מיתר
[[:שביעית]]	שביעית
[[:קול (פירושונים)]]	קול (פירושונים)
[[:פיליפ החמישי]]	פיליפ החמישי
[[:היג'רה]]	היג'רה
&rlm;[[:SDS]]&rlm;	SDS
[[:מכתש]]	מכתש
[[:קדנצה]]	קדנצה
&rlm;[[:IEC]]&rlm;	IEC
[[:דינמיקה]]	דינמיקה
[[:סלעית]]	סלעית
[[:היה היה]]	היה היה
[[:גינס]]	גינס
[[:מפענח]]	מפענח
[[:רובי]]	רובי
[[:אודי]]	אודי
[[:גביע אירופה]]	גביע אירופה
[[:ניגר]]	ניגר
[[:תיאור]]	תיאור
[[:קרנון]]	קרנון
[[:מעיין (פירושונים)]]	מעיין (פירושונים)
&rlm;[[:PC]]&rlm;	PC
[[:קרליה]]	קרליה
&rlm;[[:AK]]&rlm;	AK
[[:תטיס]]	תטיס
[[:טובה]]	טובה
[[:קלינטון]]	קלינטון
[[:שליחים]]	שליחים
[[:שליח]]	שליח
[[:נורפוק]]	נורפוק
[[:אוסטיה]]	אוסטיה
[[:פרוג]]	פרוג
[[:מורס]]	מורס
[[:חנה (פירושונים)]]	חנה (פירושונים)
[[:קליסטו]]	קליסטו
[[:פוטיומקין]]	פוטיומקין
[[:לירה]]	לירה
[[:כצנלסון]]	כצנלסון
[[:מוזיאון פיקאסו]]	מוזיאון פיקאסו
[[:גביע המדינה]]	גביע המדינה
[[:אנט (פירושונים)]]	אנט (פירושונים)
[[:כיב]]	כיב
[[:עיר המתים]]	עיר המתים
[[:מסך כחול]]	מסך כחול
[[:אלישיב]]	אלישיב
[[:מורסיה]]	מורסיה
[[:ובר]]	ובר
[[:ארמסטרונג]]	ארמסטרונג
[[:חולדה (פירושונים)]]	חולדה (פירושונים)
[[:אינו]]	אינו
[[:לול (פירושונים)]]	לול (פירושונים)
[[:צמצום]]	צמצום
[[:רימון]]	רימון
[[:פורטלנד]]	פורטלנד
[[:אברהמס]]	אברהמס
[[:קרטחנה]]	קרטחנה
[[:מנחה]]	מנחה
[[:מערך]]	מערך
[[:ברויגל]]	ברויגל
[[:תשר"ק]]	תשר"ק
[[:הקו הירוק (פירושונים)]]	הקו הירוק (פירושונים)
[[:הררה]]	הררה
[[:ר"מ (פירושונים)]]	ר"מ (פירושונים)
[[:לאריסה]]	לאריסה
[[:אנטונסקו]]	אנטונסקו
[[:מקסימיליאן השני]]	מקסימיליאן השני
[[:מידוויי]]	מידוויי
[[:ולדורף]]	ולדורף
[[:מונפור]]	מונפור
[[:כרמיה]]	כרמיה
[[:מרד האיכרים]]	מרד האיכרים
[[:פאה]]	פאה
[[:ראיית לילה]]	ראיית לילה
[[:כדורי]]	כדורי
[[:בלדווין השלישי]]	בלדווין השלישי
[[:שילה]]	שילה
[[:בית הבובות]]	בית הבובות
[[:הינדנבורג]]	הינדנבורג
[[:מגן אבות]]	מגן אבות
[[:קרייזלר (פירושונים)]]	קרייזלר (פירושונים)
[[:מטען]]	מטען
[[:דיזל]]	דיזל
[[:סויוז]]	סויוז
[[:קולנוע (פירושונים)]]	קולנוע (פירושונים)
[[:ג'ורג']]	ג'ורג'
[[:טרינידד]]	טרינידד
[[:בליץ]]	בליץ
[[:אמון (פירושונים)]]	אמון (פירושונים)
[[:דייקסטרה]]	דייקסטרה
[[:איתמר]]	איתמר
[[:בורבון]]	בורבון
[[:חצרמוות]]	חצרמוות
[[:ירח (פירושונים)]]	ירח (פירושונים)
[[:כמהין]]	כמהין
[[:אלבום]]	אלבום
[[:אליעזר]]	אליעזר
[[:מגדל (פירושונים)]]	מגדל (פירושונים)
[[:ארבל]]	ארבל
[[:ברקן]]	ברקן
[[:למך]]	למך
[[:צופר]]	צופר
[[:דביר]]	דביר
[[:אוונס]]	אוונס
[[:בסט]]	בסט
[[:לקט]]	לקט
[[:לקט]]	לקט
[[:הישרדות]]	הישרדות
[[:קרלין]]	קרלין
[[:המפלגה הקומוניסטית]]	המפלגה הקומוניסטית
[[:בילינסון (פירושונים)]]	בילינסון (פירושונים)
[[:קולרידג']]	קולרידג'
[[:לויתן]]	לויתן
[[:אנסטסיוס הראשון]]	אנסטסיוס הראשון
[[:ורדי]]	ורדי
[[:סטרטפורד]]	סטרטפורד
[[:צ'ינג הי]]	צ'ינג הי
[[:פוריה]]	פוריה
[[:אנדרומדה (פירושונים)]]	אנדרומדה (פירושונים)
[[:משואה]]	משואה
[[:שחר (פירושונים)]]	שחר (פירושונים)
[[:זוהר]]	זוהר
[[:חוצה ישראל]]	חוצה ישראל
[[:תרומה]]	תרומה
[[:דפנה]]	דפנה
[[:קטיף]]	קטיף
[[:אתגר]]	אתגר
[[:אשכול]]	אשכול
[[:ברנאר]]	ברנאר
[[:שינן]]	שינן
[[:אירופה (פירושונים)]]	אירופה (פירושונים)
[[:נתניהו]]	נתניהו
[[:אריה (פירושונים)]]	אריה (פירושונים)
&rlm;[[:PSP]]&rlm;	PSP
[[:ואי]]	ואי
[[:איו]]	איו
[[:חוגלה]]	חוגלה
[[:עולש]]	עולש
[[:חבצלת השרון]]	חבצלת השרון
[[:קריית אליעזר]]	קריית אליעזר
[[:נדב]]	נדב
[[:אל-מג'דל]]	אל-מג'דל
[[:ספר חנוך]]	ספר חנוך
[[:גבעת שפירא]]	גבעת שפירא
[[:המצור על מלטה]]	המצור על מלטה
[[:ולדהיים]]	ולדהיים
[[:דרבי]]	דרבי
[[:יפה]]	יפה
[[:גומר]]	גומר
[[:חיה]]	חיה
[[:אנג'ל]]	אנג'ל
[[:אנטי-סימטריות]]	אנטי-סימטריות
[[:פטר הראשון]]	פטר הראשון
[[:רוגלית]]	רוגלית
[[:קושי]]	קושי
[[:גרנדה (פירושונים)]]	גרנדה (פירושונים)
[[:אבעבועות]]	אבעבועות
[[:מחנה יהודה]]	מחנה יהודה
[[:לינקולן]]	לינקולן
[[:מתתיהו]]	מתתיהו
[[:צומת (פירושונים)]]	צומת (פירושונים)
[[:מרכז הקונגרסים]]	מרכז הקונגרסים
[[:התקה]]	התקה
[[:אספר]]	אספר
[[:ענתות]]	ענתות
[[:קידר]]	קידר
[[:נתיב]]	נתיב
[[:קליה]]	קליה
[[:קליה]]	קליה
[[:שיפון]]	שיפון
[[:אסון צאלים]]	אסון צאלים
[[:צאלים (פירושונים)]]	צאלים (פירושונים)
[[:מאיה (פירושונים)]]	מאיה (פירושונים)
[[:איילת השחר]]	איילת השחר
[[:חזה]]	חזה
[[:טמפו]]	טמפו
[[:קרי]]	קרי
[[:מיר]]	מיר
[[:חלוץ]]	חלוץ
[[:בן אשר]]	בן אשר
[[:אנוס]]	אנוס
[[:הרכבת הקלה]]	הרכבת הקלה
[[:שולט]]	שולט
[[:מדיירה (פירושונים)]]	מדיירה (פירושונים)
[[:אמירים (פירושונים)]]	אמירים (פירושונים)
[[:שופטים (פירושונים)]]	שופטים (פירושונים)
[[:קרים]]	קרים
[[:גורגון]]	גורגון
&rlm;[[:אולימפיאדת 1988]]&rlm;	אולימפיאדת 1988
[[:דוד (פירושונים)]]	דוד (פירושונים)
[[:גרוש (פירושונים)]]	גרוש (פירושונים)
[[:הארדי]]	הארדי
[[:קלארק]]	קלארק
[[:יקינתון]]	יקינתון
[[:לינוס]]	לינוס
[[:טולסטוי (פירושונים)]]	טולסטוי (פירושונים)
[[:סברס]]	סברס
[[:ארדש]]	ארדש
[[:חבר (פירושונים)]]	חבר (פירושונים)
[[:קאנון]]	קאנון
[[:טפחות]]	טפחות
[[:אלכסנדר השלישי]]	אלכסנדר השלישי
[[:סיפורי מעשיות]]	סיפורי מעשיות
[[:רש"ש]]	רש"ש
[[:ברברוסה]]	ברברוסה
[[:מדגסקר (פירושונים)]]	מדגסקר (פירושונים)
[[:זב]]	זב
&rlm;[[:UPS]]&rlm;	UPS
[[:פאוורס]]	פאוורס
[[:פיגמליון (פירושונים)]]	פיגמליון (פירושונים)
[[:פיליפ היפה]]	פיליפ היפה
&rlm;[[:Hitman]]&rlm;	Hitman
[[:גיא אוני (פירושונים)]]	גיא אוני (פירושונים)
[[:ובסטר]]	ובסטר
[[:קווסאקי]]	קווסאקי
[[:קארקאס]]	קארקאס
[[:עלמה]]	עלמה
&rlm;[[:WWF]]&rlm;	WWF
[[:צ'לסי]]	צ'לסי
[[:האספה הלאומית]]	האספה הלאומית
[[:עזרת נשים]]	עזרת נשים
[[:אומץ (פירושונים)]]	אומץ (פירושונים)
[[:יציבות]]	יציבות
[[:אליסיום]]	אליסיום
[[:רמות]]	רמות
[[:כוח עליון]]	כוח עליון
[[:בלום]]	בלום
[[:דחי]]	דחי
[[:מגרון]]	מגרון
[[:אחיה]]	אחיה
[[:ממ"ג]]	ממ"ג
[[:תרנגול כפרות]]	תרנגול כפרות
[[:הפלה]]	הפלה
[[:אלבוקרקי]]	אלבוקרקי
[[:פלוג'ה]]	פלוג'ה
[[:אבוגדרו]]	אבוגדרו
[[:ועדת שמגר]]	ועדת שמגר
[[:עלי]]	עלי
[[:סלאמה]]	סלאמה
[[:ממשל צבאי (פירושונים)]]	ממשל צבאי (פירושונים)
